Bridge_ID,Bridge_Name,Location,Bridge_Type,Age_Years,Crack_Width_mm,Deflection_mm,Vibration_Hz,Inspection_Result,Risk_Ranking,Maintenance_Priority,Next_Inspection
BR041,Bridge 41,Akola,PSC Box Girder,15,1.49,6,4.4,Critical,Very High,Immediate,1 Month
BR042,Bridge 42,Wardha,PSC Box Girder,35,1.02,27,4.4,Critical,Very High,Immediate,1 Month
BR043,Bridge 43,Mumbai,Steel Girder,6,0.12,11,6.7,Good,Low,Routine,12 Months
BR044,Bridge 44,Nashik,Steel Truss,17,1.26,18,3.7,Critical,Very High,Immediate,1 Month
BR045,Bridge 45,Satara,PSC Box Girder,37,0.44,25,5.1,Poor,High,Major Repair,3 Months
BR046,Bridge 46,Amravati,RCC Slab,8,1.37,27,8.9,Critical,Very High,Immediate,1 Month
BR047,Bridge 47,Mumbai,RCC Slab,31,1.26,37,4.3,Critical,Very High,Immediate,1 Month
BR048,Bridge 48,Amravati,RCC Girder,37,0.13,33,8.2,Critical,Very High,Immediate,1 Month
BR049,Bridge 49,Pune,RCC Slab,14,0.34,35,7.2,Critical,Very High,Immediate,1 Month
BR050,Bridge 50,Akola,RCC Girder,8,0.56,38,6.7,Critical,Very High,Immediate,1 Month
BR051,Bridge 51,Pune,RCC Slab,40,0.18,17,5.2,Satisfactory,Medium,Preventive,6 Months
BR052,Bridge 52,Amravati,RCC Slab,33,0.89,9,6.2,Poor,High,Major Repair,3 Months
BR053,Bridge 53,Wardha,Steel Girder,37,0.38,22,6.2,Satisfactory,Medium,Preventive,6 Months
BR054,Bridge 54,Aurangabad,RCC Slab,37,1.42,38,8.8,Critical,Very High,Immediate,1 Month
BR055,Bridge 55,Satara,Steel Girder,17,1.28,13,6,Critical,Very High,Immediate,1 Month
BR056,Bridge 56,Nashik,Steel Truss,25,0.2,20,6.1,Satisfactory,Medium,Preventive,6 Months
BR057,Bridge 57,Kolhapur,PSC Box Girder,12,1.36,14,9.1,Critical,Very High,Immediate,1 Month
BR058,Bridge 58,Pune,Steel Girder,21,1.34,34,4.8,Critical,Very High,Immediate,1 Month
BR059,Bridge 59,Satara,RCC Slab,36,0.33,19,4.5,Satisfactory,Medium,Preventive,6 Months
BR060,Bridge 60,Pune,Steel Truss,30,0.57,17,5.6,Satisfactory,Medium,Preventive,6 Months
BR061,Bridge 61,Nagpur,Steel Girder,6,0.57,34,6.1,Critical,Very High,Immediate,1 Month
BR062,Bridge 62,Pune,RCC Girder,26,0.82,23,6.6,Poor,High,Major Repair,3 Months
BR063,Bridge 63,Aurangabad,RCC Girder,19,1.46,11,4,Critical,Very High,Immediate,1 Month
BR064,Bridge 64,Aurangabad,Steel Girder,16,0.48,13,8.4,Satisfactory,Medium,Preventive,6 Months
BR065,Bridge 65,Kolhapur,RCC Girder,14,0.85,37,6.9,Critical,Very High,Immediate,1 Month
BR066,Bridge 66,Pune,Steel Truss,22,0.18,16,6.1,Satisfactory,Medium,Preventive,6 Months
BR067,Bridge 67,Nashik,RCC Girder,6,0.99,21,4,Poor,High,Major Repair,3 Months
BR068,Bridge 68,Wardha,Steel Girder,21,1.31,34,3.6,Critical,Very High,Immediate,1 Month
BR069,Bridge 69,Nashik,RCC Girder,22,0.97,7,6.7,Poor,High,Major Repair,3 Months
BR070,Bridge 70,Aurangabad,Steel Truss,15,0.47,16,4.7,Satisfactory,Medium,Preventive,6 Months
BR071,Bridge 71,Mumbai,Steel Truss,38,1.16,23,6.2,Critical,Very High,Immediate,1 Month
BR072,Bridge 72,Nagpur,RCC Slab,27,1.23,21,3.7,Critical,Very High,Immediate,1 Month
BR073,Bridge 73,Akola,RCC Girder,40,1.47,37,6.3,Critical,Very High,Immediate,1 Month
BR074,Bridge 74,Satara,RCC Slab,32,1.02,39,8.5,Critical,Very High,Immediate,1 Month
BR075,Bridge 75,Mumbai,Steel Girder,24,1.06,19,5.6,Critical,Very High,Immediate,1 Month
BR076,Bridge 76,Aurangabad,Steel Girder,27,1.47,13,3.6,Critical,Very High,Immediate,1 Month
BR077,Bridge 77,Aurangabad,RCC Slab,15,0.18,29,8.7,Poor,High,Major Repair,3 Months
BR078,Bridge 78,Mumbai,Steel Truss,20,1.07,7,6.3,Critical,Very High,Immediate,1 Month
BR079,Bridge 79,Wardha,Steel Truss,33,0.11,28,9.3,Poor,High,Major Repair,3 Months
BR080,Bridge 80,Mumbai,RCC Girder,20,0.15,24,4.8,Poor,High,Major Repair,3 Months
BR081,Bridge 81,Nashik,PSC Box Girder,26,0.63,35,5.2,Critical,Very High,Immediate,1 Month
BR082,Bridge 82,Pune,PSC Box Girder,37,1.19,10,5.1,Critical,Very High,Immediate,1 Month
BR083,Bridge 83,Aurangabad,PSC Box Girder,30,0.92,30,3.6,Poor,High,Major Repair,3 Months
BR084,Bridge 84,Mumbai,RCC Slab,10,0.92,38,8.6,Critical,Very High,Immediate,1 Month
BR085,Bridge 85,Amravati,PSC Box Girder,29,1.17,36,4.4,Critical,Very High,Immediate,1 Month
BR086,Bridge 86,Wardha,PSC Box Girder,7,1.25,37,7.3,Critical,Very High,Immediate,1 Month
BR087,Bridge 87,Amravati,PSC Box Girder,38,1.15,6,8.5,Critical,Very High,Immediate,1 Month
BR088,Bridge 88,Pune,Steel Girder,10,0.14,13,7.3,Satisfactory,Medium,Preventive,6 Months
BR089,Bridge 89,Nashik,Steel Girder,33,0.88,6,7.3,Poor,High,Major Repair,3 Months
BR090,Bridge 90,Wardha,RCC Slab,21,0.1,9,8,Good,Low,Routine,12 Months
BR091,Bridge 91,Akola,Steel Truss,10,1.02,9,8,Critical,Very High,Immediate,1 Month
BR092,Bridge 92,Nashik,PSC Box Girder,9,1.28,20,7.9,Critical,Very High,Immediate,1 Month
BR093,Bridge 93,Aurangabad,RCC Girder,34,0.79,29,4,Poor,High,Major Repair,3 Months
BR094,Bridge 94,Aurangabad,RCC Slab,17,0.21,14,5.5,Satisfactory,Medium,Preventive,6 Months
BR095,Bridge 95,Pune,PSC Box Girder,13,0.12,8,6.4,Good,Low,Routine,12 Months
BR096,Bridge 96,Akola,Steel Girder,36,0.51,38,5.2,Critical,Very High,Immediate,1 Month
BR097,Bridge 97,Pune,Steel Girder,12,1.49,40,4.7,Critical,Very High,Immediate,1 Month
BR098,Bridge 98,Akola,Steel Truss,6,0.51,9,8.4,Satisfactory,Medium,Preventive,6 Months
BR099,Bridge 99,Pune,PSC Box Girder,29,0.39,18,3.9,Satisfactory,Medium,Preventive,6 Months
BR100,Bridge 100,Wardha,Steel Truss,38,0.47,28,4.3,Poor,High,Major Repair,3 Months
